"Text","Assoc 1","Assoc 2","Assoc 3","Assoc 4","Assoc 5","Feeling","Colour"
"I had this weird dream. I was at a Waldbaum's Food Mart, at the cashiers place and somehow I told her that I had to take this liquid medicine that the gynecologist had prescribed, I asked her if she could tell me how much to take. She said ""This isn't liquid medicine, this is nitroglycerin for your heart."" I said ""I don't have any trouble with my heart."" But I took them from the cashier and somehow I wound up at a place with round picnic tables and there were a bunch of people there, males and females that I didn't know. I asked someone about this stuff, this liquid like a Maalox or something that I should be taking for my stomach. They said ""Oh, those are heart pills, do you have trouble with your heart?"" and I said, ""No."" and I ended up putting the bottle of pills in the shower. It was still sealed. How the shower got into it I do not know. (167 words)","Waldbaum's Food Mart","liquid medicine","gynecologist","nitroglycerin","heart",0,
"I was a candidate for the witness protection program and I dreamed that I was being relocated to California. I was extremely upset and sobbing hysterically because of the thought of never seeing friends or family again. The morning of the day that I was supposed to leave, for some reason I was up, stripping beds. I could feel the sheets in my hands, once I bent down and touched a bare mattress. But then I paused and realized that I didn't even know what was expected of me, why was I stripping beds? I don't even know what I am supposed to be bringing with me. (107 words)","Witness protection","sobbing","stripping","mattress","California","upset",
"I was at Monticello in Charlottesville, Virginia visiting Thomas Jefferson's house which I had already seen. I was down in the basement looking at all the clocks, a big clock that he had made. It has cannon balls on it. I guess my husband was with me. He and I were visiting and getting our own, personal tour of Monticello. We went there in 1989 with a bunch of people, but in this dream we were getting our own private tour. Going all over the mansion, up and down that winding staircase, in those rooms, looking at all the books that Jefferson had. (103 words)","Monticello","Thomas Jeffesron","clock","cannon balls","winding staircase",0,
"I was at the [childhood school for the blind] that I attended from k to 9. The weird thing was, my sister Sally was with me. She's older than I am, about 6 years older. In the dream she was the same age that she is now, but I was about 14 or so. And I was very upset because I couldn't find my way to all of my classes and I wanted her to show me around the campus. And she said she would but she kept saying ""I'm gonna be late for work! I'm going to be late for work!"" The school was in LeBlanc and she works in Pierre, about 60 miles away, but it was really a strange dream because when I was 14 at school, my sister was 18 and she was not working in Pierre at that point. The sense I used was primarily hearing because I was talking to her and she was talking to me and touch, I could feel myself walking with her. (167 words)","Sally","weird","older","school","sister","upset",
"I was contacted by The Guiding Dogs via tape and letter. I was sitting at my hard maple, dining room table in my living room, reviewing my mail. I could feel the sun falling on my face and it felt warm and good. I listened to the tape on a tape recorder and it said that it was time for me to get another guide dog. I didn't want to do this because my guide dog is healthy. I contacted them in this dream and asked them why it was necessary for me to go back for another when Sammy was healthy and they just said because I needed one. I didn't want to go back. I dreamed that I went back and it was so real because they gave me this new guide dog who was huge and I'm not this tall and they told me his name and I told them that I didn't want this dog. (159 words)","Guiding Dogs","Sammy","huge","table","sun","warm and good",
"I was dreaming that I was going to a wedding in the afternoon, but that evening, in the dream, I was also going to be attending a play with several family members, but boy, I realized that was going to be a pretty busy day to get through and I did offer a rebate of my ticket at least if for some reason it wasn't used, so evidently I thought that attending 2 things in one day was going to be a lot. (83 words)","wedding","play","ticket","2 things","one day",0,
"I was going to the beach, which I am, and before going there, I usually have dreams about it. I didn't have any sneakers or shoes to wear so I had to do some shopping. I don't know where I went shopping or whether or if I found any shoes. (50 words)","beach","sneakers","shopping",0,0,0,
"I was in a repair garage somewhere in the woods somehow it got in the woods. Its not like its echoey...you could smell a lot of, burning smell. Not like gas, but like the tar on a telephone pole, I don't know if its called tar or creosote. My brother Sam was there, I guess it was his car in the garage and he said ""Well I can't see anything burning."" And I said ""Well I can smell it."" And I said ""Well, we've got to get out of here."" There were a bunch of other people, some were blind and some that weren't and finally when the smell got too much, we all ran and he said ""Well, I'll get you to where the woods meets the edge of the road."" He leaves the dream but somehow gets us to the edge of this road I don't know how I knew the car was in the garage, I just sensed it. It wasn't a color or a specific size, I just knew that it was in there and was burning up. (182 words)","repair garage","woods","burning","smell","tar",0,
"I was in some kind of cafeteria like thing, there were tables and chairs, like you would find at a church or something and the cafeteria was echoey and there were 2 nuns there. One nun was sister Kate and I could hear in her voice, she was trying to persuade me to teach class and the other nun, possibly sister Gert a nun from Ireland and she said I've got to get what your assignment is, I'm going to go into a box and draw your assignment. Whatever paper you draw, that's what you'll be teaching and in my dream I could definitely hear voices, echoes, but there are no bodies. They're like spirit. When she hands me something there are no bodies, no arms or hands. When she said I'm going to go get your assignment, I didn't hear her foot steps, she just disappeared and it was like a spirit. (153 words)","cafeteria","2 nuns","teaching","box","spirit",0,
"I was standing at the foot of a flight of stairs, and there is a woman here who is confined to a wheel chair because of polio when she was a child, and she was at the top of the stairs and we were conversing back and forth and that's the end of that dream. (55 words)","flight of stairs","wheelchair","polio","conversing","foot",0,
"I was surrounded by boxes and bags of small balls of yarn which I had to sort out and that was a chore I had done many times in my life and one which I enjoy and so that was a nice dream, all different colors, some were in boxes and some were in Shop and Save bags, the local grocery chain... The I jumped from sorting balls of yarn to dress making in my mother's bedroom which had pale green curtains, the bed that she and my father slept in, and all their furniture, but I was trying to use a pattern and cut out a jacket or a blazer for myself and I cut all the pieces out and held them up and where I had folded the fabric, there wasn't enough so that the front of this jacket was very , very short and could not be used. This took place in a house in a very remote part of southern Maine called UF, a town which had a power station where my dad was the superintendent of and in this dream I looked out the bedroom window, which I often did, and I could see the power station and the Saco river behind it, its really a lovely view and it was very real in this dream and there were all kinds of construction workers who were milling around down at the power station which is called Q Dam. (243 words)","boxes","balls of yarn","curtains","power station","lovely view",0,
"I was up in a weather tower somewhere and I was being shown around this place by someone and there were a lot of other people around there too. I don't know why I was there or anything, but that was the dream, seemed like a rather strange one. I don't even know where this weather tower was located. I t may have been Stockard Airport or somewhere else. (69 words)","weather tower","lots of people","Stockard Airport",0,0,"strange",
"I was walking in the woods. It was springtime birds were singing, the sun was out, I could feel it on my face. I could smell the pine trees and the different scents of the different trees. I could also smell some of the wild flowers that have that sweet. Real sweet kind of perfume smell. And I was just walking by myself, no one else was around, I was walking, my guide dog was with me, and we were just going through the woods. We passed a little brook and I listened to the rippling sound of the water and decided to sit down because there was a tree there and it was shady and I decided to take a rest. I fell asleep near the tree and then I woke up and continued on my way in the dream, and kept walking through the woods. I decided to go home, I looked at my Braille watch which was on my wrist and discovered it was afternoon, so I walked back home to my condo. (176 words)","walking","woods","spring","sweet","smell",0,
"I was walking out of some hospital because I had to have some kind of short, out patient procedure and there was a door that I was able to walk through, and I felt really good, but then it was like adjacent to my own office building and so I ended up having to be at work, about a 30 second walk from work, like in a different direction was work, in a different building. I walked into the work area and asked if someone could give me a ride because I didn't think that it was all right for me to walk home even though I felt pretty good, I didn't think that it was a good idea and they said, a lady, I think it was one of my drivers, she said ""well we don't know if we can do that, we have to get approval first from somebody else"". The dream seemed to end there. (158 words)","hospital","procedure","walk","work","approval",0,
"I was with a very dear friend who died a year ago and still miss terribly and she was trying to outfit me in some clothing for some reason and the only thing I wanted or needed was a pair of white socks which she found and put on and that's the end of that dream. (56 words)","dear friend","died","miss","white socks","found",0,
"I was with Garrison Keilor again. I don't know if he came here or I went out to Minnesota or what but there was a whole group of people in this dream and. (33 words)","Garrison","Minnesota","group of people","again","Keilor",0,
"I was with some of my women friends from our Lutheran church's ladies group and we were at this big convention somewhere, probably in a church but I don't know. I was with my friend and we were selling little folders about sleep and sleep disorders. In the dream, I asked a female friend ""What's on this paper?"" I didn't have my scanner with me its too big. She said ""Its all about sleep disorders and everything."" (77 words)","women friends","Lutheran","sleep disorders","paper","too big",0,
"I was with this group of people up in Vermont somewhere but I didn't know who they were. We were just sitting around talking. I didn't know who they were or where they came from or anything. I was in Vermont recently with only 12 people and in the dream there seemed to be around 50. (56 words)","Vermont","group of people","talking","twelve","fifty",0,
"I was with two people whom I could not identify. It was mainly conversation with two people but I don't know what we were talking about. It was a couple. I was in this place, nothing necessarily familiar although I had a job and this couple was telling me what I had to do. I had to go up to the top floor, and in reality I am petrified of elevators and so I told them that I would take the stairs and they said, ""You don't want to take the stairs because they're in worse shape than the elevators."" But I decided I would take the stairs and It was some sort of four day work thing. As I climbed the stairs, they started off fine, but as I climbed higher, the stairs became more and more rickety and shaky and wobbly and I was thinking ""Oh my God, what are they going to be like when I get to the real top?"" And then somewhere in all of this I realized that I had to be in Washington DC in two days although the job was supposed to be four days. The couple sort of leaves. My friend who usually drives me to Washington DC came into my dream. I thought ""How do I get down? I'm in the middle of these rickety stairs and I either have to go up and complete the job and miss Washington or I start on down and although I don't remember climbing down the stairs, I must have because I remember asking my driver if he would take me to Washington. (270 words)","couple","elevator","stairs","rickety","Washington",0,
"I worked in a very small, mom-and-pop store. The shelves were very well stocked and I waited on several customers and then it became some kind of a night club I guess because there was a line of female exotic dancers led by a male dancer all of them dressed in really fancy skirts and tops, and they came out and began to dance in a single line and it was very acceptable in my dream, it was apparently part of a show that this store put on for customers. But when they turned around and danced with their backs to the audience, the women and the man were all naked to the waste. He was very brawny a lot of hair on his chest, very muscular, I can't remember his face at all if I saw it. The women's breasts were coming out from under their arms, were down at their navel very, very peculiar looking breasts, and from there I was in a long room, looking up at a kind of cage, quite a way above my head, but I could have reached it if I had stretched. It had a glass front and was perhaps 3 feet long and perhaps a foot deep. And there were things inside it which I had to get. On the left side there was a bright yellow something which I had to reach inside and get but curled near it was a huge reptile of some sort. Probably a circumference of 20 inches at least around his middle, very, very frightening and I drew my hand back and when I did, it startled him and he came out of the cage it did not have a grid over it. It fell to the floor and became 2 very, very small hippopotami and they were very small and very menacing, and they began to chase me and I was frightened and finally, the room wasn't that big except there was a flight of stairs facing out of it and I decided to turn and face them and I turned around and gave them both a good kick. And they started to bleed, one from the mouth and one from under his chin and they were very subdued and tried to climb the flight of stairs, but because of their kicking injuries, they were unable. (392 words)","mom-and-pop","exotic dancers","naked","reptiles","small",0,
"I'm at a client's house, at her kitchen table and a relative of mine, a cousin named J came in and said she was T's wife, so we were talking and she said that she had lost some of her sight, we were talking and she seemed very sad and needing of someone to talk to, but at the same time I was very happy to see her, because I haven't seen her in a long, long time and I like seeing cousins that I haven't seen in a long, long time and we chatted on and I think there was sunlight coming in from the window, near the table where I was sitting because it felt like it was afternoon, about 2 in the afternoon. Then the dream jumps to my old house that I grew up in and J was there too and my parents and my sister and I and my friend N. N was my first roommate when I got my apartment and N had a long antennae from a radio and we're getting stations, faraway stations, but when you walk past you have to make sure you don't walk into the antennae. So she's getting a faraway station and she's wanting me to listen to it, but I wanted to go to bed, but she persuaded me to listen to this funny show, there was a song on the radio and I was listening to it and they had different beat in music to it, so we were laughing about the song. And when I decided that we would go into the living room, J was there and she was going to watch TV with my parents, M and my sister, but I was torn between watching TV with them or because I was tired, going to bed. So I said ""goodnight"" and they all sat down on different couches and chairs and I saw that they were all settled in and I gave it a little bit of thought and, this is about 9:30 at night, I remember seeing the light was on in the living room and I remember the TV was on, I could hear the TV, I could hear them all taking their positions and after a bit more thought I said that I was going to bed because I was tired and I went back to my old room, where I used to sleep and I saw J's pajamas and I moved them, put them somewhere else, I don't remember where. Then I took my guide dog in my room, and for a minute I couldn't remember if I had taken her out at 9:00. Then I remembered that they were doing some kind of construction work in the back yard and I was wondering if it was okay to go out there and I could hear bulldozers and stuff. Then I remembered that I had taken her out but I also thought that if I hadn't I would have taken her out in the front yard. The back wasn't such a good idea because they were doing some kind of digging. I patted her and felt her soft fur and said goodnight to her and lay down and went to bed. (542 words)","kitchen table","sunlight","old house","TV","bulldozers",0,
"I'm back at my old job again, the radiology office. I told you I was a darkroom tech, and in the dream I was back in the very familiar darkroom. One of the first jobs of the day was to turn on the darkroom dryers where the film would go to be dried. I was trying to turn these 2 switches on. The top one worked fine, the bottom one was defective. I got irritated, I knew there was a short in it but there was a female patient in my darkroom standing at the top part of the dryer which is like a counter top. She was standing there writing out the last of her wedding invitations. I wanted her to get out of my way. Also in that room was a device called a pass box. That's a lead lined box where the films, in their lead cases, were passed between the x-ray room and the darkroom so that they were totally safe from any light exposure. I reached my hand up, on top of this pass box for some reason and there was a whole stack of already done wedding invitations and then a friend of mine, Neal was there and I don't know what he was supposed to be doing, but he was conducting some kind of a raffle. If you put in two 5 dollar bills, and if you were very lucky, it could increase to 200 dollars so I took my wallet and gave him a 10 dollar bill, thinking that that should be as good as two 5 dollar bills, or does he really want two 5's. (274 words)","darkroom","pass box","exposure","invitations","2 fives",0,
"I'm wearing a very pretty silk dress and I have my period, but I have protection so I am not worried about doing anything to the dress. But I always get concerned about when I have dreamt like this, because in my dream I know that I don't get it anymore because I had a hysterectomy in real life. So I always have a conflict feeling in my dream when I have it in my dream. Later I am reading a book of Braille pages, 19 to 34. It was about this girl who happened to be one of my old clients and that she was riding horses and she was doing all these sporty things, like playing football and she was totally blind and I couldn't figure out how she could do all that. Then I thought, well the article is wrong or something's strange about this magazine. In the same dream I am at this house with a great big living room, but somehow its my house and its after 4PM and you walk out of this carpetted area to a screened in porch and its really nice. The carpeting is new but there are these big square pieces of lint which are somehow there because it is new and I had to get rid of them because I was scared that my dog would try to eat them but I didn't think the vacuum cleaner was picking them up, because I had bent down and felt a couple and touched them. (254 words)","silk dress","period","protection","hysterectomy","lint","conflicted",
"In my dream I was hungry and I was fixing this plate of food for myself. I had some hard boiled eggs, that I had cut lengthwise, in half, I had some chips I had put on the plate, I was cubing cheese and I put crackers and olives. This was very typical of me, if I wasn't having the usual sandwiches and potato chips for lunch, it would be very typical of me to fix this sort of a picnic plate for myself. When I woke up I wasn't hungry. (91 words)","hungry","hard-boiled eggs","picnic plate","typical","in half",0,
"It was afternoon and we were at work ands I was in an office talking to a couple of teachers. One rehab teacher who doesn't always see things the way I do, someone who is not as understanding as I wish she could be sometimes with our clients. I am always frustrated with her because of this. I was frustrated in the dream as well. They were in their office, all talking and not really working very hard and others were there too. Her assistant came in and said ""I'm going to watch TV."" She had a TV on near her desk. I was standing in the doorway, about 2PM and she went over to her desk on the opposite side of the wall. The teacher I was trying to talk to was nearer to me. I thought it would probably be a good idea for me to leave the room because I didn't want to get caught watching TV or even being a room with a TV even though I wasn't going to be listening to it or watching it so I didn't stay very long. (187 words)","2pm","TV","work","couple of teachers","rehab","frustrated",
"Its 6AM, really early and I have to hurry to meet with this other counselor. I don't know why we had to meet so early, but she said we had to and so I was hurrying to meet her. I never did meet her because the dream ended. (48 words)","6am","really early","hurry","meet","counsellor",0,
"Katy is a young woman that I've know for 4 or 5 years but I only see her once a year and that's when we're both attending the same annual retreat in April.. This April, Katy was there and shared with us that throughout the year she had had a very serious, very involved illness which left her in a wheelchair. On this night I dreamed of Katy and I was in a room where she was and Katy had been healed, at least she was walking. There was someone calling her to them but she appeared to be walking toward them and I remember being very happy that she was no longer crippled. (114 words)","Katy","wheelchair","serious illness","healed","once a year","happy",
"Last night I dreamed of a sailing ship, I don't know if it was a schooner or... it was like the USS Constitution that I saw so many years ago. And I watched it sail off over the horizon, over the most beautiful bluish-green ocean and brilliant blue sky and turned around and walked away and was in some kind of field or meadow where this very, very tall lamppost with 4 lights coming out of the top of it very oddly shaped, I can't describe the shape and the lights were pointed in the 4 directions of the compass, north, south, east and west and they were on, they were bright but very, very pretty. (116 words)","USS Constitution","beautiful","bluish-green","lamppost","4 lights",0,
"Last night I dreamed that F and his wife L visited me on their way up to [a veteran's hospital] F is going to speak at the BVA meeting (blind veterans association). And he said, ""come out into the hall"", and here were cases and boxes of paper towels and toilet tissue, a piece of heavy, heavy metal which looked like an old fashioned wringer that would fit on a washing machine, and it had a separate motor on it and for some reason I was just delighted to see that and we were actually out in the hall of this building, the corridor, whatever and he helped me carry in the cases of paper goods, I don't know what L was doing. We came in and she was getting something out of a cupboard. She was wearing a bright red dress, and she has very short, very black hair and very trim, neat little figure and this bright red dress just enhanced her looks and all of a sudden a great big dog came around the corner and F said ""oh, I brought my dog"" and the dog came up to me and rubbed against me and I said to it ""oh I bet you're hungry, I bet you haven't been fed"". I had a can of dog food in the refrigerator, opened, with part of it taken out, I have no idea where that came from because I don't have a dog. I can remember saying to them, that I'm really not much of an animal lover, but this is a beautiful dog. I turned around and we chatted and I made plans to go up to the VA hospital, and I asked if we could stop and eat breakfast along the way and the answer was a very solid ""No, we won't have time"" and I was bitterly disappointed. (309 words)","BVA","old fashioned wringer","red dress","trim figure","dog","bitterly disappointed",
"Last night I dreamed that I received a Braille letter from the agency that I was applying for a job with, and it said that I had been refused the job in favor of a guy named George C... I didn't know the name, because he was involved with some local political activity and other things that I knew about. I said ""well that's good, he should be more suited for the job than I am"" so I was glad that he got the job and not me. I was also really relieved because I really didn't want the job even though I had applied for it. (107 words)","Job","George","political activity","Braille letter","refusal","relieved",
"Last night I dreamed that I was in a group of people, men and women and children and we were on the shore of a very attractive lake which did not look at all familiar to me. Everyone was in the water at times, and somebody brought me a very peculiarly shaped, rubber boat of some type, and I just fir perfectly into it. It was inflated and I could remember my feet just slipped into and made it into a place which was made for someone's feet. The whole thing seemed to be made for my body in a sitting position. (102 words)","group of people","lake","rubber boat","feet","perfect fit",0,
"Last night I dreamed that I was in someone's home in a good sized room with other people and there was a nice looking man there and somebody said that he was a doctor and I went upstairs in this house and there was an accordion on the floor and I knew that it belonged to the doctor, and I brought it downstairs and I asked the doctor if he would object to me playing that accordion and he asked me if I knew how and I said yes I did and that at one time I taught both accordion and piano. We went upstairs and I put the accordion on and he adjusted the straps and it was a beautiful instrument and it was black and white and it was definitely a man's accordion it was so big. (139 words)","doctor","upstairs","accordian ","man's","so big",0,
"Last night I dreamed that I was talking to a person who is bringing her cat over today for a visit before she leaves him with me in his new home. The dream was really similar to our last conversation in terms of arranging the time that he was to visit, but then she asked me if I had plenty of toys and I felt disappointed because she had told me previously the cat was a quiet cat and not very playful and I said 'yes I do, but I thought that you said that he's not too playful'. That's where the dream ended (104 words)","cat","visit","new home","not playful","toys","disappointed",
"Last night I dreamed that I went back to school, to college, and I was moving into my dorm room and all my friends were still there, moving into their rooms, there was a lot of noise, a lot of people moving around, it was moving day. My suite-mate L was there, my friend J. I could see the room, the color of the carpeting, just the lighting and all that, the way I had always seen it in my head when I lived there, and I had been asleep and I woke up and this woman, actually two women came into the room, some of my friends were in the room too. And these women were telling me that I had to move all my stuff out, because they had a housing shortage and in the housing lottery I had drawn a place to live, but it was a tent in the parking lot and I was really, really upset because it was going to be winter soon and it was getting to be cold, and besides, I was in the room that I had been in all along and it was nice and I wanted to stay there and I told them: ""Look, you better see what you can do because I'm arthritic and I can't live outside, even in a tent, especially in winter I just can't."" And they were just basically saying, ""well that's just tough luck"" and I said ""You know I realize that, but I just can't live under those conditions and I'll transfer out of this school but"" I said, ""in the mean time I'm going to sue you for discrimination if you keep this up and force me to transfer"". And they began to get really annoyed and silent and sullen at that point I could see them vaguely, I couldn't see their faces, one was sort of heavy set and shorter and the other was taller and a tiny bit overweight. One was wearing a white cotton sweater, I can't remember what the other was wearing. I also remember something else which might have been part of another dream. (358 words)","school","moving day","two women","parking lot","tent","really, really upset",
"Last night I dreamt that my daughter M gave me a mothers day gift, and it was a basket or a bowl, I don't remember now filled with fresh shelled peanuts and I couldn't eat them for some reason I wasn't allowed to eat them and down in the center of the peanuts, in a box, nicely wrapped, in white paper tied with a blue ribbon. And she told me to open my gift and I did and there were 2 place mats. I don't know how they fit into that small box but there they were. One end of the place mats was beautifully cross-stitched, they were Irish linen and the cross stitching was green and black, the linen was an unbleached color like a muslin, they were not very pretty but she was so pleased that I told her they were just lovely. (145 words)","Mother's Day","peanuts","gift","two placemats","lovely",0,
"Little dream about going to the beach camp and we were having a big party with a lot of friends. (20 words)","beach camp","little","big party","lot of friends",0,0,
"My boss was in my dream and he was saying that the first time he got married it wasn't done right and he didn't want people to have the wrong idea, in case, in the future so he was going to have a religious ceremony this time and make it better. He was talking to someone else in the room, I didn't get into it I was more of a spectator hearing him talk. We were in this brightly lit room. It was either a hotel or a conference place but we were in this really big room. It might have been the same part of the dream as the typewriter part. I think it was the same dream where we were typing. (123 words)","boss","first time","married","wrong idea","really big room",0,
"My dad had passed away a few years ago and this was the anniversary of his death. I dreamed that he spoke to me, I did not touch him. I was lying in bed and my father spoke in his quiet, somewhat gravely voice and just told me to keep doing my best in things and to keep watching out over my family and things to make sure things were going all right because he could only look from afar. (80 words)","Dad","passed away","bed","gravelly","watch",0,
"One of the women in the building named M and I were baby sitting this beautiful, little boy 5 or 6 years old, he was just adorable, and for some reason I needed to get some chocolate chips and so M offered to take me to the store in her car which she has done a few times, except that her car was a convertible in my dream and we went for miles and miles and we were so concerned about this little boy that we were supposed to be caring for. And we got the chips and we came back and her car, a bright teal color, as it is in reality, the sky was blue and the sun was shining, and we got back to where the little boy was, and he was just fine and the boy's father was there and he wanted to know where we'd been and why we left the boy un-watched and then went on to another subject and to my relief we didn't have to answer him, and incidentally, this is the third dream I've had lately about baby sitting. The other two just drifted in and out and I had no memory of them. (203 words)","little boy","chocolate chips","baby-sitting","convertible","un-watched","relief",
"The family that lived next door had moved away in July, out of state, and I dreamt that they were visiting here. They have a 12 year old son and he was visiting for some reason and for some reason I was picking up pieces of folded paper and paper money. I don't know where I was picking it up from, the floor or the breakfast bar, I don't know. I wasn't doing anything with it like giving it to him. I was glad that they were back for a visit. (91 words)","July","folded paper","12 year old son","visit","paper money","glad",
"The next dream concerned the computer program at [a VA hospital] and I sat in front of a computer, totally mystified and thinking I'll never be able to master this. (27 words)","computer program","hospital","mystified","master",0,0,
"The next snippet dream is I was in the apartment, I think I had when I was in Springfield and it seems to be that I'm in my living room and I could see the sunlight coming in the window and I was listening to a tape on the tape recorder and my friend G was taping to me and she said that she wants me to copy her tape. I didn't have a duplicator and so it was really funny, I had to take 2 tape recorders, my little one and a larger one and I had them laid out on the floor, on the rug, in the living room of my apartment that I used to have way back in 1983. I was taping the tape and although I thought it was silly, I felt intimidated and thought that I had better do what she tells me and then the dream jumps to work, and suddenly the 2 tape recorders are there and the tapes are being made and I don't want the boss to see it, and he starts to express some kind of disagreement about something one of the counselors was doing and how they had to be away from the offices and how they had to drive away from the buildings and I go in the office and I'm doing my tapes and copying the tapes and I want him to think that its part of work, and then I'm trying to do some other work too. I wasn't sure what else I was doing, using some machine or something, but I had this idea that I had to keep busy and so I was sitting at the desk between the 2 tape recorders and trying to do another task with it so I could keep working. (302 words)","tapes","duplicate","2 tape recorders","work","living room","intimidated",
"The other dream I had was that I was recording my dreams on the little tape recorder, I remember holding it up, lying in bed and talking into it about the dreams of this night. (35 words)","recording","dreams","tape recorder","lying in bed",0,0,
"There are two clients I am working with, a lady whose name starts with a J and a man whose name starts with a Q. J is about 16 and in high school and Q is 17 because he's almost graduating and its almost the 30th of September . A place called me and they wanted me to fill out a form for Q, one that I'd never heard of before, so I was trying to find a copy so that I could figure out what they wanted on it I had to decide whether J should attend [famous blind school] or public school next year. It was up to me and my supervisor said if there was only one service that the person needed then J could stay in her home, but I was trying to figure out stuff like whether she could see the blackboard and so I said that I would have to talk to her and find out what she wants to do. So I was working in my dream and I said ""oh, well, I better get this form done for Q by September 30th because they have to have it by the end of the fiscal year"". Then I looked in vain, and said to person who was with me and said that we weren't supposed to be this far, that we had to go back to New Hampshire, we don't have the proper travel authorization to be up here, if we're caught we will be in trouble. At first we were laughing about it and then we decided that we better go back to where we're supposed to be. That was evening when we were in Maine and we had to get back to New Hampshire. (290 words)","two clients","form","school","blind","travel",0,
"This dream involved guide dog school. Somehow I was at my parents' old house and we were sitting on the front porch and a lady came up and asked how did I get home every day, at what time did I get off the bus, then I said that I don't take the bus, once in a while I take the bus, but most of the time I don't take the bus, at first I couldn't remember how I got home and then I remembered that I took a taxi home, but somehow I couldn't figure out how I did that because somehow I was stuck at Redwood school, where I attended when I was a kid and it didn't seem to have anything to do with working. I knew that I usually walked to work like I do now and so I was all mixed up trying to answer her question, it seemed like an unusually difficult question, very confused. Then I was at guide dog school and there were all these people who it seemed were waiting to be evaluated for guide dogs. There must have bee 45 students all standing around asking questions and nobody was assisting them, and I wasn't there to get a guide dog, but I remember thinking, gee, what a disorganized school, to have these people standing around asking questions and not being seated in a room, being talked to about what to expect and what its going to be like. And then we were in this other place and it was really early in the morning and we had eaten breakfast and I was walking around and there was a lot of grass and a lot of opened space, and for some unknown reason, I had to get up early and I said that I was going to walk around down here, its so nice, it was a countryish setting and I was going to walk around. (325 words)","guide dog school","parents' old house","bus","questions","disorganised",0,
"This is an embarrassing dream. I had this dream that something was coming out of me vaginally and I gathered it up in a plastic zip lock bag type thing. It was like the substance of cooked spaghetti. I put it in this bag and walked toward the kitchen as if I was walking out my kitchen door to throw it out and in my dream I said to my husband ""If you still love me and are still watching me, just elevate my pillow and I'll know that you're in a better place."" But then as I awoke, I told him to go back to heaven where its a better place and not to follow my request. (118 words)","vagina","cooked spaghetti","bag","kitchen","pillow","embarrassed",
"This is one that has reoccurred several times over the years, along these lines. Back, right after I graduated from high school I worked for five years for a group of radiologists, I was a dark room technician and I was back there working, in my dream. The office appeared exactly the way it was, structurally, but who was there but the executive director of the state agency for the blind. And his purpose for being there was to tell me that my job was terminated. I didn't know if I should just gather up my things and leave then or if I was expected to finish up the day. (110 words)","darkroom","work","boss","terminated","group of radiologists",0,
"Today is what we call Patriots Day in Maine. I dreamed about my second husband, whose memory I detest and despise. The dream is not clear, even when I first woke up, apparently I was either visiting or living with some women, all women, in the dream I knew who they were but now I don't. I had been somewhere and I came back with 2 or 3 suitcases and we were sitting around a table talking and I was telling them about my trip and suddenly it hit me that I had been back for a day or more and I hadn't called my husband, apparently in this dream we were still married. Someone else called him and in the next sequence was him sitting at a table with a can of beer in front of him and he had been drinking, very obviously from the look on his face, I remember that look very clearly and he was very sweet in the dream, very nice and he understood why I hadn't called him because I was excited about the trip and coming back , and then we were in a bedroom, I think, preparing to go to bed and there were sliding glass doors and they were covered with draperies and I opened the draperies and that's the end of that dream. (224 words)","Patriots Day","second husband","beer","bedroom","draperies","excited",
"We were down in a summer camp for the blind, Mort and I and a whole bunch of other people. And for some reason we were supposed to go to someplace like Cube Island but we couldn't go because none of the vans was working. They'd all broken down, just like they did for real in 1988. I don't know how we resolved the problem in my dream. (68 words)","summer camp","blind","Mort","Cube Island","vans",0,
"We were having a bad thunderstorm. The thunder was banging quite loudly, in fact it sounded like an explosion. During the dream I thought that that I had awakened, and to my horror I found that I no longer had a quilt on my bed. My guide dog is afraid of thunder and I thought she had chewed the whole quilt. When I first brought her home from the Guiding Dogs, she had licked a leash and quietly chewed it apart and I thought she had done the same thing to my quilt and would become sick When I awoke for real, I discovered it was thundering and raining. (109 words)","thunder","quilt","guide dog","missing","chewed",0,
"We were in Stop and Shop, shopping, but they were having this contest in which they gave you this amount of time where someone would come around and tap you on the shoulder and say things: ""Soups"" then we'd have to go where the canned soups were. Then we'd have to collect as many cans of soup as we could within 5 minutes or something. Then they'd come around and tap you again and say ""bread"" then we'd have to go to the bread aisle and collect as much as you could within 5 minutes. Or they'd say ""frozen foods"" and we'd go off through the store like that. But the thing was, they had carriages everywhere so you could do this thing. My mother-in-law was in this dream, somehow, impossible because she passed away in 1994. My father-in-law's current wife, Rebecca was in the dream. I was in the dream, Mort was in the dream, my parents were in this dream, it was strange how we had to go through the store with a certain time limit and there were other people going down different aisles so they wouldn't run into each other. (194 words)","shopping","contest","carriages","mother-in-law","Rebecca",0,
